id;reference;date;statut;nature_piece;total_ht;total_tva;total_remise;tot_ttc;zone;date_livraison;cree_le;cree_par;modifie_le;modifie_par
1;"SsZT";2020-05-11;Annulee;Commande;67440;74057;70763;27297;Refined Czech Republic;2020-05-11;2020-05-12;Bedfordshire Faroe Islands azure;2020-05-12;Automotive Incredible Chief
2;"cR";2020-05-11;Preparation;Confcommande;66660;79062;64776;73469;mobile Tugrik;2020-05-11;2020-05-11;Optimized Ohio end-to-end;2020-05-12;deposit Tennessee Nebraska
3;"ZcYo";2020-05-11;Livree;Commande;68191;70864;59222;4509;New Hampshire Quality;2020-05-12;2020-05-12;Malagasy Ariary;2020-05-12;Forward Awesome
4;"Pa1UB8cAFH";2020-05-11;Annulee;Confcommande;70896;20144;93192;54596;impactful Borders;2020-05-12;2020-05-12;experiences;2020-05-11;hacking Toys
5;"ztSffdrSiHF";2020-05-12;Preparation;Livraison;86406;70874;61659;57913;Paradigm Mandatory;2020-05-12;2020-05-12;COM;2020-05-12;Ergonomic payment mobile
6;"";2020-05-11;Livree;Commande;76604;54039;81031;95877;Assurance content;2020-05-11;2020-05-11;model Rubber transmit;2020-05-11;Legacy Strategist 1080p
7;"v7x";2020-05-11;Livree;Commande;22463;71571;93649;86190;XML Facilitator Liberia;2020-05-12;2020-05-12;program payment invoice;2020-05-12;Personal Loan Account Point Checking Account
8;"y1";2020-05-11;Annulee;Confcommande;28581;84539;2007;8813;Ramp PNG;2020-05-12;2020-05-11;well-modulated;2020-05-11;Designer virtual
9;"aXv0LSLbd";2020-05-12;Annulee;Commande;43592;77272;41339;52886;Plastic;2020-05-12;2020-05-12;web-enabled JBOD Bike;2020-05-12;deposit Cape Verde Escudo
10;"G";2020-05-11;Confirmed;Confcommande;50374;10529;56449;30014;CFA Franc BEAC Buckinghamshire;2020-05-12;2020-05-11;support back up Legacy;2020-05-12;Assistant Vermont convergence
