id;quantite;prix_ht;tva;prix_ttc;cree_le;cree_par;modifie_le;modifie_par
1;33875;31762;38098;71214;2020-05-11;Auto Loan Account Bike;2020-05-12;payment
2;87449;15339;56709;42436;2020-05-11;navigate viral;2020-05-12;Orchestrator XML
3;97051;43301;12614;78384;2020-05-11;AI;2020-05-12;override Organized
4;18311;96313;87215;30058;2020-05-12;orchestrate Senior;2020-05-12;Outdoors
5;84762;25830;970;59820;2020-05-12;Borders monitor;2020-05-12;Wisconsin interface platforms
6;28585;38657;1898;97858;2020-05-12;plug-and-play;2020-05-11;magnetic Belgium Profound
7;37488;71227;83249;24727;2020-05-11;New Mexico hack Intelligent Fresh Pants;2020-05-12;Borders methodology deposit
8;42108;96148;67758;86441;2020-05-11;solid state;2020-05-12;Assistant
9;63162;46574;8277;782;2020-05-12;Investment Account next-generation Yuan Renminbi;2020-05-12;Synergistic THX
10;35537;27562;32150;33359;2020-05-12;dot-com;2020-05-11;Pizza bypass Response
