id;type;date;sens;quantite;cree_le;cree_par;modifie_le;modifie_par
1;Commande;2020-05-11;19567;52276;2020-05-12;virtual;2020-05-12;Agent Mongolia overriding
2;Stock;2020-05-12;81985;25795;2020-05-11;mint green Human Buckinghamshire;2020-05-12;SDD parallelism
3;Stock;2020-05-12;40182;78727;2020-05-11;Security monitor;2020-05-11;Ergonomic Granite Hat Forest National
4;Stock;2020-05-12;65337;54005;2020-05-11;JBOD neural;2020-05-12;Streamlined
5;Stock;2020-05-12;6338;27765;2020-05-12;Brazilian Real generate New Hampshire;2020-05-12;Chair
6;Stock;2020-05-11;43756;36708;2020-05-12;encompassing payment;2020-05-11;transmitting Borders
7;Stock;2020-05-12;88613;68543;2020-05-12;Bedfordshire invoice;2020-05-12;solid state
8;Commande;2020-05-12;84741;4752;2020-05-12;Liaison throughput Intelligent Rubber Cheese;2020-05-12;Small Baby
9;Commande;2020-05-11;8322;97087;2020-05-11;initiative;2020-05-11;streamline Ville
10;Commande;2020-05-12;20306;80396;2020-05-12;multi-byte Grove;2020-05-12;Intelligent Fresh Table
