id;categorie_client;prix;remise;cumulable;debut_promo;fin_promo;etat;cree_le;cree_par;modifie_le;modifie_par
1;Platinium;40889;35081;false;2020-05-12;2020-05-12;false;2020-05-11;structure invoice;2020-05-12;Security
2;Silver;32580;84685;false;2020-05-12;2020-05-11;false;2020-05-12;Iceland Krona programming;2020-05-11;Street Indiana
3;Silver;41924;74712;true;2020-05-11;2020-05-12;true;2020-05-12;connecting Liechtenstein Fantastic;2020-05-12;Computers Central info-mediaries
4;Gold;72205;83844;true;2020-05-12;2020-05-12;false;2020-05-12;viral Tajikistan feed;2020-05-11;Director Montana
5;Silver;5096;5376;false;2020-05-12;2020-05-11;true;2020-05-11;turquoise radical Cotton;2020-05-12;heuristic
6;Gold;69247;514;false;2020-05-12;2020-05-12;false;2020-05-11;Baht Strategist Plastic;2020-05-11;Guadeloupe Ways payment
7;Silver;41015;40238;true;2020-05-11;2020-05-11;false;2020-05-12;payment virtual Ball;2020-05-12;invoice
8;Silver;33829;66056;false;2020-05-12;2020-05-11;true;2020-05-11;Beauty;2020-05-11;Shoes
9;Silver;22731;83440;true;2020-05-11;2020-05-11;false;2020-05-11;Electronics static Lead;2020-05-12;throughput
10;Silver;64551;71454;false;2020-05-12;2020-05-12;true;2020-05-11;Toys invoice Advanced;2020-05-11;Mouse
