id;stock_physique;stock_disponible;stock_reserve;stock_commande;derniere_entre;derniere_sortie;alerte_stock;cree_le;cree_par;modifie_le;modifie_par
1;40873;43417;67982;65899;2020-05-11;2020-05-12;true;2020-05-12;Montenegro Cambridgeshire connect;2020-05-12;generate hack Credit Card Account
2;55276;14444;85811;96779;2020-05-12;2020-05-11;false;2020-05-12;leverage purple;2020-05-12;National optical synthesize
3;76626;47684;54096;57789;2020-05-12;2020-05-12;true;2020-05-11;Utah distributed;2020-05-12;Optimization wireless
4;64977;56636;63878;43508;2020-05-12;2020-05-11;true;2020-05-12;solutions;2020-05-12;software User-centric Lead
5;82004;89042;85271;98526;2020-05-11;2020-05-12;true;2020-05-11;software;2020-05-11;backing up
6;29419;37216;63682;93647;2020-05-12;2020-05-11;false;2020-05-12;Architect Montana;2020-05-11;fuchsia
7;57463;89506;90791;2860;2020-05-11;2020-05-11;true;2020-05-12;payment;2020-05-11;Sharable synthesize
8;39870;77692;6410;87608;2020-05-11;2020-05-11;true;2020-05-11;Tasty Soft Cheese Division Re-engineered;2020-05-11;Computers Factors Concrete
9;22166;29949;14440;84644;2020-05-11;2020-05-11;false;2020-05-12;Rustic Steel Pizza Virgin Islands, U.S. Buckinghamshire;2020-05-11;open-source explicit Specialist
10;40460;59832;17880;60212;2020-05-11;2020-05-12;false;2020-05-11;Chair Australian Dollar reciprocal;2020-05-12;Credit Card Account Borders turquoise
